plate_barcode,well_description,image_description,object_description,pattern_description,AreaShape_compactness
110000106828,A01,1,476,Cells,1.19179819268983
110000106828,A01,1,383,Cells,1.18790363022166
110000106828,A01,1,413,Cells,1.56787331793812
110000106828,A01,1,324,Cells,1.58157283470625
110000106828,A01,1,337,Cells,1.19196639136635
110000106828,A01,1,66,Cells,1.20404897513571
110000106828,A01,1,312,Cells,1.31921103926652
110000106828,A01,1,268,Cells,1.10520778243066
110000106828,A01,1,236,Cells,1.13473149772426
110000106828,A01,1,486,Cells,1.80839292436352
110000106828,A01,1,445,Cells,1.40561833981064
110000106828,A01,1,299,Cells,1.43977238094866
110000106828,A01,1,456,Cells,1.47231741997172
110000106828,A01,1,125,Cells,1.07989605609469
110000106828,A01,1,474,Cells,1.34903467011331
110000106828,A01,1,310,Cells,1.43763616715526
110000106828,A01,1,123,Cells,1.25275378230182
110000106828,A01,1,242,Cells,1.16962901637735
110000106828,A01,1,52,Cells,1.79477189478146
110000106828,A01,1,301,Cells,1.04444813437168
110000106828,A01,1,523,Cells,1.02215597998305
110000106828,A01,1,215,Cells,1.58720038332227
110000106828,A01,1,487,Cells,1.00752518864208
110000106828,A01,1,70,Cells,1.38485556393323
110000106828,A01,1,480,Cells,1.35262539752048
110000106828,A01,1,190,Cells,1.26247417151487
110000106828,A01,1,126,Cells,1.06430447185726
110000106828,A01,1,77,Cells,1.05952125255559
110000106828,A01,1,481,Cells,2.01871928313558
110000106828,A01,1,122,Cells,1.08111629613262
110000106828,A01,1,482,Cells,1.33988606894183
110000106828,A01,1,45,Cells,1.07517680016469
110000106828,A01,1,88,Cells,1.57413795912989
110000106828,A01,1,440,Cells,1.98677839893569
110000106828,A01,1,466,Cells,1.04711110534974
110000106828,A01,1,162,Cells,2.7376575846808
110000106828,A01,1,194,Cells,1.43108788377727
110000106828,A01,1,28,Cells,1.14742509675071
110000106828,A01,1,372,Cells,1.17158406563717
110000106828,A01,1,516,Cells,1.13617740546373
110000106828,A01,1,252,Cells,3.31637188617479
110000106828,A01,1,44,Cells,1.29357142473243
110000106828,A01,1,431,Cells,1.12428233641758
110000106828,A01,1,378,Cells,1.13595940630299
110000106828,A01,1,221,Cells,1.05911880592709
110000106828,A01,1,311,Cells,1.37958924663207
110000106828,A01,1,363,Cells,1.0406068858907
110000106828,A01,1,345,Cells,1.1461171515099
110000106828,A01,1,50,Cells,1.23527390664425
110000106828,A01,1,100,Cells,1.12885978647836
110000106828,A01,1,426,Cells,1.23960330673859
110000106828,A01,1,329,Cells,1.12552985618262
110000106828,A01,1,374,Cells,1.16557891559639
110000106828,A01,1,520,Cells,1.62191128310894
110000106828,A01,1,143,Cells,1.41123499935256
110000106828,A01,1,470,Cells,1.27675951337101
110000106828,A01,1,381,Cells,1.17511088158042
110000106828,A01,1,282,Cells,1.10249370626206
110000106828,A01,1,304,Cells,1.21604186072198
110000106828,A01,1,22,Cells,1.13575270402558
